instance,objective_fuction, solve_time(s)
i-ng-60-1600-1000-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-25.dat,1567,300.373
i-ng-60-1600-1000-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-23.dat,1456,300.382
i-ng-60-1600-1000-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-08.dat,0,0.0131311
i-ng-60-1600-1000-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-07.dat,0,0.013432
i-ng-60-800-500-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-07.dat,0,0.00674796
i-ng-60-800-500-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0,0.00756907
i-ng-60-320-200-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-21.dat,294,300.027
i-ng-60-320-200-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-20.dat,228,263.025
i-ng-60-320-200-12h-8mxP-3mxC-5mxH-2mnH-20171209_16-38-12.dat,235,300.027
i-ng-60-320-200-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0,0.00319791
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-20.dat,119,40.7126
i-ng-60-160-100-12h-8mxP-3mxC-5mxH-2mnH-20171209_16-38-12.dat,120,300.017
i-ng-60-160-100-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0,0.00247407
i-ng-60-96-60-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-20.dat,70,14.5525
i-ng-60-96-60-12h-8mxP-3mxC-5mxH-2mnH-20171209_16-38-12.dat,72,359.609
i-ng-60-96-60-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0,0.082808
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-20.dat,47,10.861
i-ng-60-64-40-12h-8mxP-3mxC-5mxH-2mnH-20171209_16-38-12.dat,48,300.041
i-ng-60-64-40-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0,0.00147915
i-ng-60-16-10-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-20.dat,12,0.484411
i-ng-60-16-10-12h-8mxP-3mxC-5mxH-2mnH-20171209_16-38-11.dat,12,0.215983
i-ng-60-16-10-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0,0.00141191
i-ng-20-1200-1000-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0,0.00744414
i-ng-20-1200-1000-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-05.dat,0,0.00748396
i-ng-20-600-500-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-04.dat,0,0.00551009
i-ng-20-240-200-12h-8mxP-3mxC-5mxH-2mnH-20171209_16-38-09.dat,239,300.015
i-ng-20-240-200-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-04.dat,0,0.00285006
i-ng-20-120-100-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-16.dat,114,35.5808
i-ng-20-120-100-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-15.dat,118,25.919
i-ng-20-120-100-12h-8mxP-3mxC-5mxH-2mnH-20171209_16-38-08.dat,119,300.025
i-ng-20-120-100-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-03.dat,0,0.00240111
i-ng-20-72-60-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-15.dat,70,4.29102
i-ng-20-72-60-12h-8mxP-3mxC-5mxH-2mnH-20171209_16-38-08.dat,72,300.022
i-ng-20-72-60-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-03.dat,0,0.00300288
i-ng-20-48-40-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-15.dat,46,3.21206
i-ng-20-48-40-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-03.dat,0,0.0386071
i-ng-20-12-10-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-15.dat,12,1.55106
i-ng-20-12-10-12h-8mxP-3mxC-5mxH-2mnH-20171209_16-38-08.dat,12,0.209947
i-ng-20-12-10-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-03.dat,0,0.00215316
