instance,objective_fuction, solve_time(s)
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-12mnH-3Cnt-20171210_12-53-58912.dat,40,8.21149
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-12mnH-3Cnt-20171210_12-53-58351.dat,40,6.03909
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-12mnH-2Cnt-20171210_12-53-57763.dat,40,6.5426
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-12mnH-2Cnt-20171210_12-53-57744.dat,40,3.97988
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-12mnH-1Cnt-20171210_12-53-57787.dat,40,3.38444
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-12mnH-1Cnt-20171210_12-53-57385.dat,40,2.44534
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-1mnH-3Cnt-20171210_12-53-57361.dat,37,6.87876
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-1mnH-3Cnt-20171210_12-53-57272.dat,38,7.09952
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-1mnH-2Cnt-20171210_12-53-57349.dat,36,7.42538
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-1mnH-2Cnt-20171210_12-53-56788.dat,36,8.93384
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-1mnH-1Cnt-20171210_12-53-56935.dat,36,2.89392
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-1mnH-1Cnt-20171210_12-53-56909.dat,38,4.0883
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-6mnH-3Cnt-20171210_12-53-59505.dat,48,36.3852
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-6mnH-3Cnt-20171210_12-53-59206.dat,47,30.4962
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-6mnH-2Cnt-20171210_12-53-59607.dat,47,33.905
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-6mnH-2Cnt-20171210_12-53-59152.dat,48,20.0158
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-6mnH-1Cnt-20171210_12-53-59963.dat,39,31.4488
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-6mnH-1Cnt-20171210_12-53-59698.dat,39,300.018
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-1mnH-3Cnt-20171210_12-53-59941.dat,47,33.1559
