instance,solve_time(s),intvars
i-ng-60-64-40-24h-24mxP-8mxC-8mxH-1mnH-2Cnt-20171210_12-54-01528.dat,300.012,128
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-4mnH-1Cnt-20171210_12-53-53350.dat,300.012,128
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-1mnH-1Cnt-20171210_12-53-53795.dat,300.016,128
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-4mnH-1Cnt-20171210_12-53-53435.dat,300.017,128
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-1mnH-3Cnt-20171210_12-53-54360.dat,300.017,128
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-6mnH-1Cnt-20171210_12-53-59698.dat,300.018,128
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-4mnH-2Cnt-20171210_12-53-5562.dat,300.02,128
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-1mnH-3Cnt-20171210_12-53-55719.dat,300.02,128
i-ng-60-64-40-24h-24mxP-8mxC-8mxH-1mnH-2Cnt-20171210_12-54-01978.dat,300.024,128
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-4mnH-1Cnt-20171210_12-53-55308.dat,300.027,128
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-1mnH-2Cnt-20171210_12-53-58107.dat,300.029,128
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-1mnH-3Cnt-20171210_12-53-58296.dat,300.032,128
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-4mnH-2Cnt-20171210_12-53-55760.dat,300.032,128
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-1mnH-3Cnt-20171210_12-53-53643.dat,300.038,128
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-1mnH-3Cnt-20171210_12-53-55159.dat,300.042,128
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-1mnH-2Cnt-20171210_12-53-58838.dat,300.045,128
i-ng-60-64-40-24h-24mxP-8mxC-8mxH-6mnH-1Cnt-20171210_12-54-01846.dat,300.045,128
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-1mnH-1Cnt-20171210_12-53-52178.dat,300.211,128
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-4mnH-1Cnt-20171210_12-53-55513.dat,300.473,128
i-ng-60-64-40-24h-24mxP-8mxC-8mxH-6mnH-1Cnt-20171210_12-54-01787.dat,300.659,128
i-ng-60-64-40-24h-8mxP-2mxC-5mxH-4mnH-3Cnt-20171210_12-53-50774.dat,300.75,128
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-4mnH-3Cnt-20171210_12-53-56802.dat,300.904,128
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-1mnH-1Cnt-20171210_12-53-55990.dat,300.97,128
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-1mnH-2Cnt-20171210_12-53-55168.dat,305.214,128
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-1mnH-1Cnt-20171210_12-53-58585.dat,341.123,128
