instance,solve_time(s),intvars
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-4mnH-2Cnt-20171210_12-53-53238.dat,1.08151,128
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-1mnH-1Cnt-20171210_12-53-52417.dat,1.20002,128
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-1mnH-2Cnt-20171210_12-53-47175.dat,1.60541,128
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-1mnH-1Cnt-20171210_12-53-46640.dat,1.65901,128
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-4mnH-2Cnt-20171210_12-53-53132.dat,1.85461,128
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-12mnH-1Cnt-20171210_12-53-57385.dat,2.44534,128
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-1mnH-1Cnt-20171210_12-53-56935.dat,2.89392,128
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-4mnH-1Cnt-20171210_12-53-47511.dat,3.15115,128
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-1mnH-2Cnt-20171210_12-53-55422.dat,3.28762,128
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-12mnH-1Cnt-20171210_12-53-57787.dat,3.38444,128
i-ng-60-64-40-24h-24mxP-8mxC-16mxH-12mnH-1Cnt-20171210_12-54-00539.dat,3.6588,128
i-ng-60-64-40-24h-24mxP-8mxC-16mxH-1mnH-1Cnt-20171210_12-53-59650.dat,3.69428,128
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-12mnH-2Cnt-20171210_12-53-57744.dat,3.97988,128
i-ng-60-64-40-24h-24mxP-16mxC-16mxH-1mnH-1Cnt-20171210_12-53-56909.dat,4.0883,128
i-ng-60-64-40-24h-24mxP-8mxC-16mxH-1mnH-1Cnt-20171210_12-53-59284.dat,4.13545,128
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-1mnH-3Cnt-20171210_12-53-47135.dat,4.14994,128
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-1mnH-2Cnt-20171210_12-53-52737.dat,4.23048,128
i-ng-60-64-40-24h-24mxP-8mxC-16mxH-12mnH-1Cnt-20171210_12-54-00209.dat,4.94195,128
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-1mnH-3Cnt-20171210_12-53-47769.dat,5.16668,128
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-4mnH-3Cnt-20171210_12-53-47293.dat,5.17159,128
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-8mnH-2Cnt-20171210_12-53-52736.dat,5.19736,128
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-8mnH-2Cnt-20171210_12-53-52445.dat,5.38273,128
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-4mnH-3Cnt-20171210_12-53-56313.dat,6.01581,128
