instance,objective_fuction, solve_time(s)
x_10_0.dat,8,0.566929
x_10_1.dat,10,0.262939
x_10_2.dat,11,9.14935
x_10_3.dat,7,0.340793
x_10_4.dat,13,3.6871
x_10_5.dat,14,2.91277
x_10_6.dat,13,2.4378
x_10_7.dat,11,1.15738
x_10_8.dat,8,0.205226
x_11_0.dat,9,1.99624
x_11_1.dat,13,0.48758
x_11_2.dat,6,1.10624
x_11_3.dat,11,1.12837
x_11_4.dat,12,0.562257
x_11_5.dat,6,0.425691
x_11_6.dat,12,0.444214
x_11_7.dat,6,0.607396
x_11_8.dat,9,0.787269
x_12_0.dat,6,0.302678
x_12_1.dat,14,0.658878
x_12_2.dat,12,9.34977
x_12_3.dat,19,10.0078
x_12_4.dat,9,0.640385
x_12_5.dat,13,4.75816
x_12_6.dat,14,0.516953
x_12_7.dat,13,1.3105
x_12_8.dat,9,0.796699
x_13_0.dat,12,0.920379
x_13_1.dat,8,0.463255
x_13_2.dat,15,2.15909
x_13_3.dat,14,4.10037
x_13_4.dat,15,2.19906
x_13_5.dat,13,3.8423
x_13_6.dat,7,1.09465
x_13_7.dat,9,1.45856
x_13_8.dat,13,1.31238
x_14_0.dat,16,10.0055
x_14_1.dat,13,1.12863
x_14_2.dat,11,8.79761
x_14_3.dat,17,1.44731
x_14_4.dat,26,10.0075
x_14_5.dat,14,4.5158
x_14_6.dat,11,0.879367
x_14_7.dat,16,1.14966
x_14_8.dat,18,10.007
x_15_0.dat,29,10.0115
x_15_1.dat,15,10.0075
x_15_2.dat,17,0.84292
x_15_3.dat,22,10.006
x_15_4.dat,14,6.83639
x_15_5.dat,16,2.30341
x_15_6.dat,17,10.0077
x_15_7.dat,31,10.0061
x_15_8.dat,18,10.0055
x_16_0.dat,18,1.93588
x_16_1.dat,21,10.0056
x_16_2.dat,16,3.60881
x_16_3.dat,12,10.0061
x_16_4.dat,13,3.05328
x_16_5.dat,18,10.0065
x_16_6.dat,26,10.0061
x_16_7.dat,25,10.0077
x_16_8.dat,19,10.0089
x_17_0.dat,35,10.0084
x_17_1.dat,18,10.0063
x_17_2.dat,16,10.0061
x_17_3.dat,17,10.0062
x_17_4.dat,16,3.04172
x_17_5.dat,13,10.0079
x_17_6.dat,24,10.0065
x_17_7.dat,28,10.0062
x_17_8.dat,13,3.07327
x_18_0.dat,21,10.0061
x_18_1.dat,17,10.0088
x_18_2.dat,24,10.0111
x_18_3.dat,26,10.0085
x_18_4.dat,22,1.91903
x_18_5.dat,21,1.82521
x_18_6.dat,16,3.01438
x_18_7.dat,29,3.84676
x_18_8.dat,21,3.48377
x_19_0.dat,23,10.0064
x_19_1.dat,30,10.0091
x_19_2.dat,31,10.0113
x_19_3.dat,21,10.009
x_19_4.dat,23,3.92078
x_19_5.dat,16,10.0044
x_19_6.dat,29,5.58519
x_19_7.dat,19,10.0139
x_19_8.dat,16,4.73759
x_20_0.dat,28,10.009
x_20_1.dat,19,10.0065
x_20_2.dat,27,10.0282
x_20_3.dat,22,10.022
x_20_4.dat,22,4.23084
x_20_5.dat,24,10.0149
x_20_6.dat,30,10.0101
x_20_7.dat,21,4.32732
x_20_8.dat,38,10.0128
x_21_0.dat,23,10.0287
x_21_1.dat,23,3.99369
x_21_2.dat,47,10.0127
x_21_3.dat,49,10.0211
x_21_4.dat,26,10.0094
x_21_5.dat,24,4.27869
x_21_6.dat,40,10.0107
x_21_7.dat,23,10.0133
x_21_8.dat,25,5.9237
x_22_0.dat,22,6.04532
x_22_1.dat,58,10.019
x_22_3.dat,33,10.0086
x_22_4.dat,21,6.58521
x_22_5.dat,38,10.0219
x_22_6.dat,26,5.09064
x_22_8.dat,20,10.0107
x_23_0.dat,27,5.53173
x_23_1.dat,26,9.98869
x_23_2.dat,28,8.8947
x_23_3.dat,50,10.0131
x_23_4.dat,24,10.0093
x_23_5.dat,27,7.11393
x_23_6.dat,23,8.33569
x_23_7.dat,42,10.0119
x_23_8.dat,59,10.0164
x_24_0.dat,23,10.0147
x_24_1.dat,29,10.0167
x_24_2.dat,64,10.0256
x_24_3.dat,64,10.0172
x_24_4.dat,18,10.0116
x_24_5.dat,64,10.0122
x_24_6.dat,59,10.0417
x_24_7.dat,64,10.0207
x_24_8.dat,22,10.0084
x_25_2.dat,59,10.0263
x_25_4.dat,39,10.0226
x_25_6.dat,65,10.016
x_25_7.dat,61,10.0275
x_25_8.dat,29,10.0058
x_26_0.dat,53,10.0272
x_26_1.dat,69,10.0355
x_26_2.dat,35,10.0186
x_26_3.dat,42,10.0241
x_26_4.dat,69,10.0223
x_26_6.dat,69,10.0263
x_26_7.dat,69,10.0145
x_27_0.dat,40,10.0187
x_27_1.dat,69,10.0341
x_27_3.dat,64,10.0259
x_27_4.dat,72,10.0258
x_27_6.dat,69,10.0536
x_28_0.dat,70,10.0349
x_28_1.dat,44,10.0202
