instance,objective_fuction, solve_time(s)
x_16_0.dat,18,1.98397
x_16_1.dat,21,12.4486
x_16_2.dat,16,3.42453
x_16_3.dat,12,12.2156
x_16_4.dat,13,3.11885
x_16_5.dat,18,600.019
x_16_6.dat,26,300.049
x_16_7.dat,25,42.2454
x_16_8.dat,19,300.014
x_17_0.dat,33,300.016
x_17_1.dat,18,32.5478
x_17_2.dat,16,21.5869
x_17_3.dat,17,300.016
x_17_4.dat,16,2.89965
x_17_5.dat,13,166.122
x_17_6.dat,24,300.024
x_17_7.dat,28,33.6917
x_17_8.dat,13,3.38005
x_18_0.dat,21,35.4247
x_18_1.dat,16,300.012
x_18_2.dat,24,36.4166
x_18_3.dat,26,32.1584
x_18_4.dat,22,1.96933
x_18_5.dat,21,1.81531
x_18_6.dat,16,3.10219
x_18_7.dat,29,4.06022
x_18_8.dat,21,3.5846
x_19_0.dat,21,300.016
x_19_1.dat,30,300.016
x_19_2.dat,30,300.019
x_19_3.dat,21,32.409
x_19_4.dat,23,4.07043
x_19_5.dat,16,300.016
x_19_6.dat,29,5.83087
x_19_7.dat,19,15.8519
x_19_8.dat,16,4.99885
x_20_0.dat,26,300.014
x_20_1.dat,19,40.5058
x_20_2.dat,26,31.2106
x_20_3.dat,21,18.7288
x_20_4.dat,22,3.01997
x_20_5.dat,24,88.3654
x_20_6.dat,28,27.9739
x_20_7.dat,21,3.80456
x_20_8.dat,29,56.5864
x_21_0.dat,23,300.014
x_21_1.dat,23,3.57787
x_21_2.dat,27,300.014
x_21_3.dat,33,300.021
x_21_4.dat,24,300.019
x_21_5.dat,24,4.08397
x_21_6.dat,40,300.023
x_21_7.dat,23,133.449
x_21_8.dat,25,5.72275
x_22_0.dat,22,5.50104
x_22_1.dat,28,99.8734
x_22_2.dat,28,300.015
x_22_3.dat,30,59.7771
x_22_4.dat,21,6.68311
x_22_5.dat,36,68.0862
x_22_6.dat,26,5.04869
x_22_7.dat,27,300.871
x_22_8.dat,20,20.4539
x_23_0.dat,27,6.40396
x_23_1.dat,26,9.8924
x_23_2.dat,28,8.92409
x_23_3.dat,35,300.011
x_23_4.dat,24,39.6238
x_23_5.dat,27,6.94173
x_23_6.dat,23,7.63291
x_23_7.dat,33,130.27
x_23_8.dat,33,42.7931
x_24_0.dat,22,71.3331
x_24_1.dat,28,39.9654
x_24_2.dat,27,16.0205
x_24_3.dat,24,12.5471
x_24_4.dat,15,21.634
x_24_5.dat,27,300.015
x_24_6.dat,28,300.015
x_24_7.dat,24,56.6316
x_24_8.dat,22,64.4575
x_25_0.dat,30,120.213
x_25_1.dat,29,69.8928
x_25_2.dat,26,15.3424
x_25_3.dat,29,176.506
x_25_4.dat,33,37.4388
x_25_5.dat,38,300.023
x_25_6.dat,29,20.0187
x_25_7.dat,38,300.031
x_25_8.dat,29,87.6122
x_26_0.dat,43,300.013
x_26_1.dat,33,132.542
x_26_2.dat,32,300.015
x_26_3.dat,34,300.019
x_26_4.dat,29,17.0817
x_26_5.dat,33,181.728
x_26_6.dat,30,25.8905
x_26_7.dat,49,300.022
x_26_8.dat,17,14.7726
x_27_0.dat,36,300.013
x_27_1.dat,49,300.015
x_27_2.dat,31,112.233
x_27_3.dat,45,300.019
x_27_4.dat,34,13.6017
x_27_5.dat,48,300.023
x_27_6.dat,46,300.022
x_27_7.dat,18,20.0494
x_27_8.dat,26,110.91
x_28_0.dat,52,256.191
x_28_1.dat,35,10.4589
