instance,solve_time(s)
i-ng-20-25-21-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-46,0.00155187
i-ng-10-7-6-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-20,0.00176001
i-ng-10-7-6-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-20,0.00190306
i-ng-30-34-26-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-44-06,0.00177383
i-ng-20-7-6-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-36,0.00439
i-ng-20-19-16-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-42,0.00177002
i-ng-30-34-26-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-44-05,0.00348496
i-ng-10-18-16-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-25,0.00180101
i-ng-20-13-11-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-38,0.00146985
i-ng-20-19-16-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-50,0.00164986
i-ng-10-18-16-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-24,0.0017221
i-ng-20-19-16-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-50,0.00183201
i-ng-10-7-6-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-19,0.00171494
i-ng-30-8-6-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-54,0.00112104
i-ng-20-7-6-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-37,0.00193
i-ng-10-23-21-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-29,0.00183606
i-ng-10-1-1-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-18,0.00226188
i-ng-30-27-21-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-44-01,0.00123596
i-ng-20-13-11-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-39,0.00152493
i-ng-0-6-6-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-03,0.00203013
i-ng-30-21-16-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-57,0.001436
i-ng-20-13-11-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-38,0.00173998
i-ng-30-34-26-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-44-08,0.00606585
i-ng-20-31-26-16h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-53,0.00165009
i-ng-20-31-26-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-53,0.00183487
i-ng-30-8-6-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-55,0.0010891
i-ng-10-12-11-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-21,0.00220704
i-ng-20-13-11-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-39,0.00231719
i-ng-0-11-11-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-05,0.00263405
i-ng-30-14-11-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-56,0.00145292
i-ng-10-18-16-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-23,0.00256705
i-ng-10-29-26-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-33,0.00153589
i-ng-10-23-21-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-27,0.00202012
