instance,solve_time(s),intvars
i-ng-60-16-10-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0.00141191,32
i-ng-60-64-40-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0.00147915,128
i-ng-20-12-10-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-03.dat,0.00215316,24
i-ng-20-120-100-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-03.dat,0.00240111,240
i-ng-60-160-100-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0.00247407,320
i-ng-20-240-200-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-04.dat,0.00285006,480
i-ng-20-72-60-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-03.dat,0.00300288,144
i-ng-60-320-200-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0.00319791,640
i-ng-20-600-500-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-04.dat,0.00551009,1200
i-ng-60-800-500-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-07.dat,0.00674796,1600
i-ng-20-1200-1000-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0.00744414,2400
i-ng-20-1200-1000-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-05.dat,0.00748396,2400
i-ng-60-800-500-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0.00756907,1600
i-ng-60-1600-1000-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-08.dat,0.0131311,3200
i-ng-60-1600-1000-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-07.dat,0.013432,3200
i-ng-20-48-40-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-03.dat,0.0386071,96
i-ng-60-96-60-6h-4mxP-0mxC-2mxH-2mnH-20171209_16-38-06.dat,0.082808,192
x_8_2.dat,0.130279,42
x_8_7.dat,0.186193,42
x_10_8.dat,0.201026,52
i-ng-20-12-10-12h-8mxP-3mxC-5mxH-2mnH-20171209_16-38-08.dat,0.209947,24
x_9_1.dat,0.213966,48
i-ng-60-16-10-12h-8mxP-3mxC-5mxH-2mnH-20171209_16-38-11.dat,0.215983,32
x_8_8.dat,0.237267,42
x_12_0.dat,0.23753,64
x_8_9.dat,0.242507,42
x_10_1.dat,0.275895,52
x_8_0.dat,0.296065,42
x_8_3.dat,0.352399,42
x_10_3.dat,0.356329,52
x_9_5.dat,0.37852,48
x_11_1.dat,0.400859,58
x_9_6.dat,0.410597,48
x_12_6.dat,0.431281,64
x_9_0.dat,0.437652,48
x_13_1.dat,0.451566,68
x_9_4.dat,0.458813,48
x_11_6.dat,0.460937,58
x_8_4.dat,0.462817,42
x_9_2.dat,0.468914,48
x_8_6.dat,0.483757,42
i-ng-60-16-10-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-20.dat,0.484411,32
x_8_1.dat,0.491839,42
x_10_0.dat,0.531182,52
x_8_5.dat,0.57346,42
x_11_5.dat,0.586284,58
x_11_7.dat,0.611558,58
x_12_1.dat,0.624946,64
x_9_7.dat,0.628876,48
x_9_9.dat,0.633023,48
x_12_4.dat,0.636875,64
x_11_4.dat,0.65993,58
x_9_8.dat,0.718327,48
x_12_8.dat,0.804593,64
x_11_8.dat,0.844551,58
x_15_2.dat,0.857262,80
x_14_6.dat,0.886847,74
x_13_0.dat,0.888203,68
x_13_6.dat,1.00276,68
x_11_3.dat,1.0861,58
x_10_7.dat,1.08896,52
x_11_2.dat,1.09535,58
x_14_1.dat,1.13876,74
x_14_7.dat,1.15263,74
x_12_7.dat,1.19753,64
x_13_8.dat,1.28076,68
x_9_3.dat,1.30708,48
x_13_7.dat,1.38275,68
x_14_3.dat,1.41912,74
i-ng-20-12-10-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-15.dat,1.55106,24
x_18_5.dat,1.81531,96
x_18_4.dat,1.96933,96
x_16_0.dat,1.98397,84
x_13_2.dat,2.0894,68
x_11_0.dat,2.14831,58
x_13_4.dat,2.20973,68
x_10_6.dat,2.2611,52
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-27478.dat,2.48118,128
x_15_5.dat,2.54134,80
i-ng-60-64-40-12h-8mxP-3mxC-5mxH-2mnH-20171210_07-27-2471.dat,2.70038,128
x_10_5.dat,2.71748,52
x_17_4.dat,2.89965,90
x_20_4.dat,3.01997,106
x_18_6.dat,3.10219,96
x_16_4.dat,3.11885,84
i-ng-20-48-40-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-15.dat,3.21206,96
i-ng-60-64-40-12h-8mxP-3mxC-5mxH-2mnH-20171210_07-27-24828.dat,3.35083,128
x_17_8.dat,3.38005,90
x_16_2.dat,3.42453,84
x_10_4.dat,3.5108,52
x_21_1.dat,3.57787,112
x_18_8.dat,3.5846,96
i-ng-60-64-40-12h-8mxP-3mxC-5mxH-2mnH-20171210_07-27-24178.dat,3.62586,128
i-ng-60-64-40-12h-8mxP-3mxC-5mxH-2mnH-20171210_07-27-24262.dat,3.69021,128
i-ng-60-64-40-12h-8mxP-3mxC-5mxH-2mnH-20171210_07-27-24820.dat,3.77646,128
x_20_7.dat,3.80456,106
x_13_3.dat,4.04432,68
x_18_7.dat,4.06022,96
x_13_5.dat,4.07006,68
x_19_4.dat,4.07043,100
x_21_5.dat,4.08397,112
i-ng-20-72-60-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-15.dat,4.29102,144
x_14_5.dat,4.44494,74
i-ng-60-64-40-12h-8mxP-3mxC-5mxH-2mnH-20171210_07-27-24130.dat,4.47803,128
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-27383.dat,4.59132,128
